round,fraction,dice_score,method
1,0.12,0.5823958069086075,entropy
2,0.13,0.6331397145986557,entropy
3,0.14,0.6479328125715256,entropy
4,0.15,0.6642507240176201,entropy
5,0.16,0.7082736492156982,entropy
6,0.17,0.7287042587995529,entropy
7,0.18,0.7365417182445526,entropy
8,0.19,0.7380074858665466,entropy
9,0.2,0.7415387332439423,entropy
10,0.21,0.7507110089063644,entropy
11,0.22,0.7624197751283646,entropy
12,0.23,0.7698821276426315,entropy
13,0.24,0.8136308044195175,entropy
14,0.25,0.8042602241039276,entropy
15,0.26,0.8147447109222412,entropy
16,0.27,0.8279565870761871,entropy
17,0.28,0.8516636490821838,entropy
18,0.29,0.8415522575378418,entropy
19,0.3,0.8556828498840332,entropy
20,0.31,0.8609879612922668,entropy
21,0.32,0.8657781183719635,entropy
22,0.33,0.8693989664316177,entropy
23,0.34,0.8681978583335876,entropy
24,0.35,0.8705246150493622,entropy
25,0.36,0.8690874129533768,entropy
26,0.37,0.8751971423625946,entropy
27,0.38,0.8749040067195892,entropy
28,0.39,0.8698750585317612,entropy
29,0.4,0.8764062374830246,entropy
30,0.41,0.879976287484169,entropy
31,0.42,0.8718949109315872,entropy
32,0.43,0.873437225818634,entropy
33,0.44,0.8861041069030762,entropy
34,0.45,0.8823909163475037,entropy
35,0.46,0.8814386576414108,entropy
36,0.47,0.8873010873794556,entropy
37,0.48,0.8857188075780869,entropy
38,0.49,0.8865161389112473,entropy
39,0.5,0.8797467648983002,entropy
40,0.51,0.8859104067087173,entropy
41,0.52,0.8858384490013123,entropy
42,0.53,0.8907377868890762,entropy
43,0.54,0.8906518816947937,entropy
44,0.55,0.8854577988386154,entropy
45,0.56,0.8870704174041748,entropy
46,0.57,0.8852570205926895,entropy
47,0.58,0.8934985101222992,entropy
48,0.59,0.8906569331884384,entropy
49,0.6,0.8810837268829346,entropy
50,0.61,0.8885327130556107,entropy
51,0.62,0.8877358138561249,entropy
52,0.63,0.8938235640525818,entropy
53,0.64,0.8937777727842331,entropy
54,0.65,0.8976118862628937,entropy
55,0.66,0.8979637175798416,entropy
56,0.67,0.8943291008472443,entropy
57,0.68,0.8964189291000366,entropy
58,0.69,0.9021058678627014,entropy
59,0.7,0.9003516286611557,entropy
60,0.71,0.900176927447319,entropy
61,0.72,0.8974469751119614,entropy
62,0.73,0.8956438302993774,entropy
63,0.74,0.9011478871107101,entropy
64,0.75,0.899200439453125,entropy
65,0.76,0.8976372331380844,entropy
66,0.77,0.898889496922493,entropy
67,0.78,0.8972900658845901,entropy
68,0.79,0.9008571058511734,entropy
69,0.8,0.8989333361387253,entropy
70,0.81,0.9045950323343277,entropy
71,0.82,0.9024425148963928,entropy
72,0.83,0.8993522077798843,entropy
73,0.84,0.9022094309329987,entropy
74,0.85,0.8973318040370941,entropy
75,0.86,0.9025321453809738,entropy
76,0.87,0.8998873829841614,entropy
77,0.88,0.9033749103546143,entropy
78,0.89,0.8989172726869583,entropy
79,0.9,0.9009410887956619,entropy
80,0.91,0.9010860174894333,entropy
81,0.92,0.9012840539216995,entropy
82,0.93,0.9027899652719498,entropy
83,0.94,0.9047887921333313,entropy
84,0.95,0.9010913819074631,entropy
85,0.96,0.8998231291770935,entropy
86,0.97,0.902001217007637,entropy
87,0.98,0.9020828008651733,entropy
88,0.99,0.9034539759159088,entropy
89,1.0,0.9012503325939178,entropy
